,ASKVOLL_115_,BRIMNES_179_15,BRIMNES_199_19,BRIMNES_265_17,BRUSALI_129_,BRUSALI_164_20,BRUSALI_199_4,FJELLSE_59_,GJ™RA_199_,HEMNES_175_,HEMNES_315_1,KOPARDAL_99_,LEIRVIK_89_,MALM_169_,MALM_209_2,MALM_249_5,MALM_279_,NESTTUN_99_,NORDLI_279_,TARVA_109_,TRYSIL_115_,TYSSEDAL_275_,UNDREDAL_299_,
100001,,NaN,NaN,,,,,1,1,,,1,,,,,1,,,1,1,0,0,NaN
100002,,NaN,NaN,,,,,,,,,,,,,,,,,1,0,0,0,NaN
100006,,,1,,,,,,,,,,1,,1,1,,,,,0,0,0,NaN
100049,1,1,1,1,1,1,1,,1,,,,,1,1,1,1,,,,0,1,1,NaN
100087,,NaN,NaN,,,,,,,4,4.00,,,,,,,,,,0,0,0,NaN
100089,,NaN,NaN,,,,,,,1,1.00,,,,,,,,,,0,0,0,NaN
100092,,NaN,NaN,,,,,,,1,1.00,,,,,,,,,,0,0,0,NaN
100224,,NaN,NaN,,,,,,,,,,,,18,18,,,,,0,0,0,NaN
100229,,,12,,,,,,,,,,,,,,,,,,0,0,0,NaN
100298,,NaN,NaN,,,,,6,,,,,,,,,,,,,0,0,0,NaN
100349,,NaN,NaN,4,,,,,,,,,,,,,,,12,,0,0,0,NaN
100359,,8,,8,,,,,,,,,,,,,,,,,0,0,0,NaN
100365,,44,,44,,,,,,,,,,,,,,,,,0,0,0,NaN
100514,,NaN,NaN,,,,,,,,,,,,,,,,,14,0,0,0,NaN
100600,,NaN,NaN,,,,,,,,,,,,,,,,,1,0,0,0,NaN
100710,,NaN,NaN,,,,,,,,,,,,,,,,,,4,0,0,NaN
100823,,,4,,,,,,,,,,,,,,,,,,0,0,0,NaN
101345,,22,,48,,40,40,,,,40.00,,,,8,8,,,,,0,0,0,NaN
101350,,8,,8,,,,24,,,,,,,,,,,,43,0,7,0,NaN
101352,,NaN,NaN,,,,,,,18,18.00,,,,,,,,,,0,0,0,NaN
101356,,NaN,NaN,12,14,14,14,,,,,,,,,,,,,,0,0,0,NaN
